Make,Model_part,Models,,,,first_word
Dodge,Aven,"AvengerSE,Avenger4dr,AvengerSXT,AvengerR/T,Avenger2dr",,,,7
Dodge,Cali,"CaliberSXT,Caliber4dr,CaliberHB,Caliber,CaliberExpress,Caliber4d",,,,7
Dodge,Cara,"CaravanSE,CaravanSport,CaravanSXT,Caravan4dr,Caravan3,Caravan4,CaravanES,Caravan,CaravanEX",,,,7
Dodge,Chal,"ChallengerSXT,ChallengerR/T,Challenger2dr,ChallengerSRT,ChallengerSRT8,Challenger392,ChallengerShaker,ChallengerT/A,ChallengerScat,ChallengerRallye,ChallengerGT,Challenger",,,,10
Dodge,Char,"Charger4dr,ChargerSXT,ChargerRT,ChargerSRT,ChargerSRT8,ChargerDaytona,ChargerR/T,ChargerRoad/Track,ChargerSE,ChargerPolice,ChargerPursuit,ChargerV6,ChargerBase,Charger,Charger4d,ChargerAWD,ChargerFleet,ChargerSCATPK",,,,7
Dodge,Dako,"Dakota4WD,Dakota2WD,DakotaBighorn/Lonestar",,,,6
Dodge,Dart,"DartSXT,DartGT,DartSE,DartLimited,DartRallye,DartAero,Dart,DartSXT/Rallye,DartTurbo,Dart4d",,,,4
Dodge,Dura,"DurangoAWD,Durango2WD,DurangoCitadel,DurangoLimited,DurangoSXT,DurangoGT,DurangoR/T,Durango4dr,Durango4WD,DurangoCrew,DurangoSpecial,DurangoCREW",,,,7
Dodge,Gran,Grand,,,,5
Dodge,Intr,Intrepid4dr,,,,8
Dodge,Jour,"JourneyFWD,JourneySE,JourneyCrew,JourneyR/T,JourneyAWD,JourneySXT,JourneyLimited,JourneyCrossroad,JourneyAmerican,JourneyGT,Journey",,,,7
Dodge,Magn,Magnum4dr,,,,6
Dodge,Neon,"Neon4dr,NeonSE,Neonsx",,,,4
Dodge,Nitr,"NitroR/T,NitroSE,Nitro4WD,Nitro2WD,Nitro,NitroSLT/RT,NitroSPORT,NitroSXT",,,,5
Dodge,Ram,Ram,,,,3
Dodge,Spri,"Sprinter2500,Sprinter3500,Sprinter,Sprinter2WD",,,,8
Dodge,SRT,SRT,,,,3
Dodge,Stra,"Stratus4dr,Stratus,Stratus2004.5,StratusSE,Stratus2004,Stratus2dr",,,,7
Dodge,Vipe,"Viper2dr,ViperGTC,ViperGTS,ViperSRT,ViperACR",,,,5
