Make,Model_part,Models,,,,,,first_word
Ford,C-Max,C-Max,,,,,,5
Ford,C-MaxSE,"C-MaxSE,C-MaxSEL",,,,,,5
Ford,C-MaxTi,C-MaxTitanium,,,,,,5
Ford,Club,Club,,,,,,4
Ford,Contour,"Contour4dr,ContourLX,ContourSE",,,,,,7
Ford,Crown,Crown,,,,,,5
Ford,E-Serie,E-Series,,,,,,8
Ford,Econoli,Econoline,,,,,,9
Ford,Edge4dr,Edge4dr,,,,,,4
Ford,EdgeAWD,EdgeAWD,,,,,,4
Ford,EdgeFWD,EdgeFWD,,,,,,4
Ford,EdgeLim,EdgeLimited,,,,,,4
Ford,EdgeLTD,EdgeLTD,,,,,,4
Ford,EdgeSe,EdgeSe,,,,,,4
Ford,EdgeSE,EdgeSE,,,,,,4
Ford,EdgeSEL,EdgeSEL,,,,,,4
Ford,EdgeSpo,EdgeSport,,,,,,4
Ford,EdgeTit,EdgeTitanium,,,,,,4
Ford,Escape2,Escape2WD,,,,,,6
Ford,Escape4,"Escape4WD,Escape4dr",,,,,,6
Ford,EscapeB,EscapeBase,,,,,,6
Ford,EscapeF,EscapeFWD,,,,,,6
Ford,EscapeH,EscapeHybrid,,,,,,6
Ford,EscapeL,"EscapeLimited,EscapeLImited",,,,,,6
Ford,EscapeS,"EscapeS,EscapeSE,EscapeSEL,EscapeSPORT",,,,,,6
Ford,EscapeT,EscapeTitanium,,,,,,6
Ford,EscapeX,"EscapeXLS,EscapeXLT",,,,,,6
Ford,Escort2,Escort2dr,,,,,,6
Ford,Escort4,Escort4dr,,,,,,6
Ford,EscortF,EscortFleet,,,,,,6
Ford,EscortL,EscortLX,,,,,,6
Ford,EscortS,EscortSE,,,,,,6
Ford,EscortZ,EscortZX2,,,,,,6
Ford,Excursi,"Excursion137"",ExcursionXLT,ExcursionEddie,ExcursionLimited,ExcursionXLS",,,,,,9
Ford,Expedit,"Expedition5.4L,Expedition4WD,Expedition,ExpeditionLimited,ExpeditionPlatinum,Expedition119"",ExpeditionKing,Expedition2WD,ExpeditionXLT,Expedition4dr,Expedition4.6L,ExpeditionXL,ExpeditionXLS,ExpeditionEddie,ExpeditionNBX",,,,,,10
Ford,Explore,"ExplorerRWD,Explorer4WD,ExplorerFWD,ExplorerBase,ExplorerXLT,Explorer,ExplorerLimited,ExplorerSport,Explorer4dr,Explorer2dr,Explorer2WD,ExplorerAWD,ExplorerXLS,ExplorerEddie,ExplorerPolice,ExplorerXL,ExplorerPlatinum",,,,,,8
Ford,F-150,F-150,,,,,,5
Ford,F-15020,F-1502010,,,,,,5
Ford,F-1502W,F-1502WD,,,,,,5
Ford,F-1504W,F-1504WD,,,,,,5
Ford,F-15060,F-15060th,,,,,,5
Ford,F-150AW,F-150AWD,,,,,,5
Ford,F-150F-,F-150F-150,,,,,,5
Ford,F-150FX,"F-150FX4,F-150FX2",,,,,,5
Ford,F-150Ha,F-150Harley-Davidson,,,,,,5
Ford,F-150Ki,F-150King,,,,,,5
Ford,F-150La,F-150Lariat,,,,,,5
Ford,F-150Li,"F-150Limited,F-150Lightning",,,,,,5
Ford,F-150Pl,F-150Platinum,,,,,,5
Ford,F-150Ra,F-150Raptor,,,,,,5
Ford,F-150Re,F-150Regular,,,,,,5
Ford,F-150ST,F-150STX,,,,,,5
Ford,F-150Su,"F-150SuperCrew,F-150SuperCab,F-150Supercab",,,,,,5
Ford,F-150SV,F-150SVT,,,,,,5
Ford,F-150XL,"F-150XLT,F-150XL",,,,,,5
Ford,F-250,F-250,,,,,,5
Ford,F-2502W,F-2502WD,,,,,,5
Ford,F-2504W,F-2504WD,,,,,,5
Ford,F-2504x,"F-2504x2,F-2504x4",,,,,,5
Ford,F-2504X,F-2504X4,,,,,,5
Ford,F-250Am,F-250Amarillo,,,,,,5
Ford,F-250Ca,F-250Cabela's,,,,,,5
Ford,F-250FX,F-250FX5,,,,,,5
Ford,F-250Ha,F-250Harley-Davidson,,,,,,5
Ford,F-250Hi,F-250Highline,,,,,,5
Ford,F-250Ki,F-250King,,,,,,5
Ford,F-250La,F-250Lariat,,,,,,5
Ford,F-250Ou,F-250Outlaw,,,,,,5
Ford,F-250Pl,F-250Platinum,,,,,,5
Ford,F-250Su,F-250SuperCrew,,,,,,5
Ford,F-250XL,"F-250XL,F-250XLT",,,,,,5
Ford,F-350,F-350,,,,,,5
Ford,F-3502W,F-3502WD,,,,,,5
Ford,F-3504W,F-3504WD,,,,,,5
Ford,F-3504x,"F-3504x4,F-3504x2",,,,,,5
Ford,F-3504X,F-3504X2,,,,,,5
Ford,F-350Am,F-350Amarillo,,,,,,5
Ford,F-350Ca,F-350Cabela's,,,,,,5
Ford,F-350FX,F-350FX5,,,,,,5
Ford,F-350Ha,F-350Harley-Davidson,,,,,,5
Ford,F-350Ki,F-350King,,,,,,5
Ford,F-350La,F-350Lariat,,,,,,5
Ford,F-350Pl,F-350Platinum,,,,,,5
Ford,F-350Re,F-350Reg,,,,,,5
Ford,F-350Su,"F-350SuperCrew,F-350SuperCab",,,,,,5
Ford,F-350XL,"F-350XL,F-350XLT",,,,,,5
Ford,F-4504W,F-4504WD,,,,,,5
Ford,F-450Cr,F-450Crew,,,,,,5
Ford,F-450Ki,F-450King,,,,,,5
Ford,F-450La,F-450Lariat,,,,,,5
Ford,F-450Pl,F-450Platinum,,,,,,5
Ford,F-450Re,F-450Reg,,,,,,5
Ford,F-450XL,"F-450XL,F-450XLT",,,,,,5
Ford,F-53,F-53,,,,,,4
Ford,F-5502W,F-5502WD,,,,,,5
Ford,F-550Cr,F-550Crew,,,,,,5
Ford,F-550La,F-550Lariat,,,,,,5
Ford,F-550Re,F-550Reg,,,,,,5
Ford,F-550XL,"F-550XLT,F-550XL",,,,,,5
Ford,F-750XL,F-750XL,,,,,,5
Ford,Fiesta4,Fiesta4dr,,,,,,6
Ford,Fiesta5,Fiesta5dr,,,,,,6
Ford,FiestaH,FiestaHatchback,,,,,,6
Ford,FiestaS,"FiestaSedan,FiestaS,FiestaSE,FiestaST,FiestaSES,FiestaSL",,,,,,6
Ford,FiestaT,FiestaTitanium,,,,,,6
Ford,Five,Five,,,,,,4
Ford,Flex4dr,Flex4dr,,,,,,4
Ford,FlexLim,FlexLimited,,,,,,4
Ford,FlexSE,FlexSE,,,,,,4
Ford,FlexSEL,FlexSEL,,,,,,4
Ford,FlexTit,FlexTitanium,,,,,,4
Ford,Focus,Focus,,,,,,5
Ford,Focus2d,Focus2dr,,,,,,5
Ford,Focus3d,Focus3dr,,,,,,5
Ford,Focus4d,Focus4dr,,,,,,5
Ford,Focus5d,Focus5dr,,,,,,5
Ford,FocusEl,FocusElectric,,,,,,5
Ford,FocusHa,FocusHatchback,,,,,,5
Ford,FocusLX,FocusLX,,,,,,5
Ford,FocusRS,FocusRS,,,,,,5
Ford,FocusS,FocusS,,,,,,5
Ford,FocusSe,FocusSedan,,,,,,5
Ford,FocusSE,"FocusSEL,FocusSE,FocusSES",,,,,,5
Ford,FocusST,FocusST,,,,,,5
Ford,FocusSV,FocusSVT,,,,,,5
Ford,FocusTi,FocusTitanium,,,,,,5
Ford,FocusZT,"FocusZTS,FocusZTW",,,,,,5
Ford,FocusZX,"FocusZX3,FocusZX4,FocusZXW,FocusZX5",,,,,,5
Ford,Freesta,Freestar,,,,,,8
Ford,Freesty,"Freestyle4dr,FreestyleSEL,FreestyleLimited,FreestyleSE",,,,,,9
Ford,Fusion,Fusion,,,,,,6
Ford,Fusion4,Fusion4dr,,,,,,6
Ford,FusionF,FusionFusion,,,,,,6
Ford,FusionH,FusionHybrid,,,,,,6
Ford,FusionP,FusionPlatinum,,,,,,6
Ford,Fusions,Fusionse,,,,,,6
Ford,FusionS,"FusionSE,FusionS,FusionSport,FusionSEL,FusionSe",,,,,,6
Ford,FusionT,FusionTitanium,,,,,,6
Ford,GT2dr,GT2dr,,,,,,3
Ford,GTCoupe,GTCoupe,,,,,,3
Ford,Mustang,"MustangFastback,Mustang2dr,MustangConvertible,MustangGT,MustangCoupe,MustangShelby,MustangEcoBoost,MustangV6,MustangBase,MustangPremium,MustangDeluxe,Mustang,MustangMach,MustangSVT,MustangCobra,MustangBoss",,,,,,7
Ford,Ranger,Ranger,,,,,,6
Ford,Ranger2,Ranger2WD,,,,,,6
Ford,Ranger4,Ranger4WD,,,,,,6
Ford,RangerE,RangerEdge,,,,,,6
Ford,RangerR,"RangerReg,RangerRegular",,,,,,6
Ford,RangerS,RangerSuperCab,,,,,,6
Ford,RangerX,"RangerXL,RangerXLT",,,,,,6
Ford,Super,Super,,,,,,5
Ford,Taurus,Taurus,,,,,,6
Ford,Taurus4,Taurus4dr,,,,,,6
Ford,TaurusB,TaurusBase,,,,,,6
Ford,TaurusG,TaurusGL,,,,,,6
Ford,TaurusL,"TaurusLimited,TaurusLX",,,,,,6
Ford,TaurusP,TaurusPolice,,,,,,6
Ford,TaurusS,"TaurusSEL,TaurusSHO,TaurusSE,TaurusSES",,,,,,6
Ford,Thunder,"Thunderbird2dr,ThunderbirdDeluxe,ThunderbirdPremium,Thunderbird50th,ThunderbirdPacific",,,,,,11
Ford,Transit,Transit,,,,,,7
Ford,Windsta,Windstar,,,,,,8
Ford,ZX22dr,ZX22dr,,,,,,3
