Make,Model_part,Models,,first_word
Hyundai,Acc,"Accent4dr,AccentSE,AccentValue,AccentGLS,AccentSport,AccentGS,Accent3dr,Accent5dr,Accent,Accent99A",,6
Hyundai,Aze,"Azera4dr,AzeraSedan,AzeraLimited,Azera3.3L",,5
Hyundai,Ela,"ElantraSE,Elantra4dr,ElantraLimited,ElantraGLS,ElantraValue,Elantra,ElantraSEL,ElantraECO,ElantraSport,Elantra5dr,Elantra4DSD,Elantra4DR,Elantra2016,Elantra99A",,7
Hyundai,Ent,Entourage4dr,,9
Hyundai,Equ,"Equus4dr,EquusSignature,EquusUltimate",,5
Hyundai,Gen,"Genesis,Genesis4dr,Genesis3.8,Genesis5.0,GenesisV6,Genesis3.8L,Genesis5.0L",,6
Hyundai,Ion,Ioniq,,5
Hyundai,San,Santa,,5
Hyundai,Son,"Sonata,Sonata2.4L,SonataSE,SonataGLS,Sonata4dr,SonataSport,SonataLimited,Sonata1.6T,SonataEco,Sonata2.0T,SonataSEL,Sonata2011,SonataBase,SonataGL",,6
Hyundai,Tib,"Tiburon2dr,TiburonSE",,7
Hyundai,Tuc,"TucsonSE,TucsonFWD,TucsonGLS,TucsonAWD,TucsonGL,Tucson4WD,TucsonLimited,Tucson4dr,TucsonEco,TucsonSport,TucsonNight,TucsonWalking,TucsonValue",,6
Hyundai,Vel,"VelosterManual,VelosterAutomatic,VelosterDual,VelosterValue,Veloster3dr,VelosterRE:MIX,VelosterRE:FLEX,VelosterTurbo,VelosterGLS,Veloster1.6L",,7
Hyundai,Ver,"VeracruzAWD,VeracruzFWD,VeracruzGLS",,8
Hyundai,XG3,"XG3504dr,XG3004dr",,2
