Make,Model_part,Models,,,,first_word
Nissan,200,200SX2dr,,,,5
Nissan,350,350Z2dr,,,,4
Nissan,370,"370ZCoupe,370Z2dr,370ZRoadster,370ZHeated/Cooled",,,,4
Nissan,Alt,"AltimaSedan,Altima2.5,Altima4dr,Altima2017.5,Altima2dr,Altima3.5,AltimaCoupe",,,,6
Nissan,Arm,"ArmadaLE,Armada2WD,ArmadaSE,Armada4WD,ArmadaSV,ArmadaPlatinum,ArmadaSL,Armada2008,ArmadaNISSAN",,,,6
Nissan,cub,"cubeS,cubeSL,cube5dr",,,,4
Nissan,Fro,"Frontier,FrontierKing,FrontierCrew,FrontierS,Frontier2WD,Frontier4WD,FrontierSE,FrontierSV",,,,8
Nissan,GT-,"GT-R2dr,GT-RBlack,GT-RPremium,GT-RTrack,GT-RNISMO",,,,4
Nissan,JUK,"JUKES,JUKEFWD,JUKE5dr,JUKESV,JUKESL,JUKENISMO,JUKEAWD",,,,4
Nissan,LEA,"LEAFS,LEAFSL,LEAFSV,LEAF4dr",,,,4
Nissan,Max,"Maxima3.5,Maxima4dr,MaximaS,MaximaSV,MaximaSR,MaximaSL,MaximaPlatinum,Maxima",,,,6
Nissan,Mur,"Murano2WD,MuranoSV,MuranoAWD,MuranoSL,MuranoS,Murano4dr,MuranoLE,MuranoFWD,Murano2017.5,Murano",,,,6
Nissan,NV,NV,,,,2
Nissan,NV1,NV1500,,,,2
Nissan,NV2,"NV200,NV200S,NV200SV,NV2500",,,,2
Nissan,NV3,NV3500,,,,2
Nissan,NVH,NVHigh,,,,2
Nissan,NVP,"NVP3500,NVPV8,NVPV6",,,,2
Nissan,NVS,NVStandard,,,,2
Nissan,Pat,"PathfinderSV,PathfinderS,Pathfinder2WD,Pathfinder4WD,PathfinderSL,PathfinderSE,PathfinderPlatinum,PathfinderLE,Pathfinder,PathfinderXE,PathfinderHybrid,Pathfinder4dr,Pathfinder99.5",,,,10
Nissan,Que,"QuestSV,QuestS,QuestPlatinum,Quest4dr,QuestSL,Quest3dr,QuestLE",,,,5
Nissan,Rog,"Rogue,RogueS,RogueSV,RogueSL,RogueFWD,RogueAWD,Rogue2017.5,Rogue4DR",,,,5
Nissan,Sen,"SentraS,Sentra4dr,SentraFE+,SentraSV,SentraSR,SentraSL,SentraNISMO,Sentra",,,,6
Nissan,Tit,"Titan2WD,TitanSingle,TitanKing,TitanCrew,Titan4WD,Titan,TitanSE,TitanLE",,,,5
Nissan,Tru,Trucks,,,,6
Nissan,Ver,"Versa,VersaS,Versa1.6,VersaSL,VersaSV,Versa5dr,Versa4dr",,,,5
Nissan,Xte,"Xterra2WD,Xterra4dr,Xterra4WD,XterraX,XterraS,XterraPRO-4X",,,,6
