Make,Model_part,Models,,,,first_word
Toyota,4Run,"4Runner4dr,4Runner2WD,4RunnerRWD,4Runner4WD,4Runner4x2,4Runner4x4,4RunnerSR5,4RunnerLimited,4RunnerSport,4RunnerTrail,4Runner,4RunnerTRD,4RunnerBase,4Runner4Runner",,,,7
Toyota,86Au,86Automatic,,,,2
Toyota,86Ba,86Base,,,,2
Toyota,86Ma,86Manual,,,,2
Toyota,86SE,86SE,,,,2
Toyota,Aval,"Avalon,Avalon4dr,AvalonXLE,AvalonTouring,AvalonLimited,AvalonPremium,AvalonHybrid,AvalonXL,AvalonXLS,AvalonBase",,,,6
Toyota,C-HR,C-HRXLE,,,,4
Toyota,Camr,"Camry,CamrySE,CamryLE,Camry4dr,CamryXLE,CamryL,CamryXSE,Camry2014.5,CamryHybrid,CamryBase,CamryCE,Camry4d",,,,5
Toyota,Celi,"Celica3dr,Celica2dr,CelicaGT,CelicaGTS",,,,5
Toyota,Coro,"Corolla4dr,CorollaLE,CorollaS,CorollaL,CorollaSE,CorollaECO,CorollaXLE,Corolla,CorollaXSE,CorollaXRS,CorollaBase,CorollaCE,CorollaVE,CorollaCorolla,CorollaDX",,,,7
Toyota,Echo,"Echo2dr,Echo4dr,EchoSedan",,,,4
Toyota,FJ,FJ,,,,2
Toyota,High,"Highlander,Highlander4dr,Highlander2WD,HighlanderFWD,Highlander4WD,Highlander4X2,Highlander4x2,HighlanderLimited,Highlander4X4,HighlanderLE,HighlanderAWD,HighlanderXLE,HighlanderSE,HighlanderHybrid,HighlanderBase,HighlanderSport,HighlanderPlus,Highlanderw/3rd,HighlanderHighlander",,,,10
Toyota,Land,Land,,,,4
Toyota,Matr,"Matrix5dr,MatrixS,MatrixL,MatrixXRS,MatrixBase,MatrixXR",,,,6
Toyota,Mira,"Mirai4dr,MiraiSedan",,,,5
Toyota,MR2,MR2,,,,3
Toyota,Prev,PreviaLE,,,,6
Toyota,Priu,"Prius,PriusThree,PriusTwo,PriusFour,Prius5dr,PriusFive,PriusOne,PriusPersona,PriusHATCACK,Prius4dr,PriusIII,PriusTouring,PriusBase",,,,5
Toyota,RAV4,"RAV44X4,RAV44X2,RAV44WD,RAV4FWD,RAV4AWD,RAV4,RAV44dr,RAV4LE,RAV42WD,RAV4XLE,RAV4Sport,RAV4Limited,RAV4SE,RAV4Platinum,RAV4V6,RAV4Base,RAV4XLE/4WD/W/NAV/REAR,RAV42dr",,,,4
Toyota,Sequ,"Sequoia4dr,Sequoia2WD,SequoiaRWD,Sequoia4WD,Sequoia4X4,Sequoia4X2,SequoiaSR5,SequoiaLimited,SequoiaPlatinum",,,,7
Toyota,Sien,"SiennaLE,Sienna5dr,SiennaL,SiennaSE,SiennaXLE,SiennaBase,SiennaLimited,SiennaCE,Sienna5DR,SiennaLE/DVD,SiennaSienna,Sienna5328,SiennaLIMITED,Sienna7-Pass",,,,6
Toyota,Supr,"Supra3dr,Supra15th",,,,5
Toyota,T100,"T100XtraCab,T100SR5",,,,4
Toyota,Taco,"TacomaRegular,Tacoma2WD,Tacoma4WD,TacomaAccess,TacomaDouble,TacomaPrerunner,Tacoma4D,Tacoma,TacomaBase,TacomaSR,TacomaTRD,TacomaSR5,TacomaPreRunner,TacomaX-Runner,TacomaLimited",,,,6
Toyota,Terc,Tercel2dr,,,,6
Toyota,Tund,"Tundra2WD,Tundra,Tundra4WD,TundraSR5,TundraBase,TundraSR,TundraRegular,TundraLimited,TundraGrade,TundraSR6,TundraTRD,Tundra1794,TundraDouble,TundraPlatinum",,,,6
Toyota,Venz,"VenzaLE,Venza4dr,VenzaXLE,VenzaLimited,VenzaBase",,,,5
Toyota,Yari,"Yaris,Yaris3-Door,Yaris5-Door,Yaris3dr,Yaris4dr,Yaris5dr,YarisLE,YarisBase,YarisL,YarisFleet,Yaris4DR,YarisSedan,YarisSE,YarisYaris,YarisS",,,,5
