Make,Model_part,Models
Chevrolet,Astr,Astro
Chevrolet,Aval,"Avalanche1500,AvalancheLS,Avalanche4WD,AvalancheLT,AvalancheLTZ,Avalanche2WD,Avalanche2500"
Chevrolet,Aveo,"Aveo4dr,Aveo5dr,AveoLT,Aveo1LT"
Chevrolet,Blaz,"Blazer4dr,Blazer2dr,BlazerFleet"
Chevrolet,Bolt,Bolt
Chevrolet,C,C
Chevrolet,C/K,C/K
Chevrolet,Cama,"CamaroCoupe,Camaro2dr,CamaroConvertible,Camaro2SS,CamaroLT,Camaro1LS,Camaro2LS,CamaroLS,Camaro1LT,CamaroSS,Camaro"
Chevrolet,Capt,Captiva
Chevrolet,Cava,"Cavalier4dr,Cavalier2dr"
Chevrolet,Chev,Chevy
Chevrolet,City,City
Chevrolet,Coba,"Cobalt2dr,Cobalt4dr,CobaltSS"
Chevrolet,Colo,"ColoradoCrew,Colorado4WD,Colorado2WD,ColoradoExtended,ColoradoRegular,ColoradoLT"
Chevrolet,Corv,"Corvette2dr,Corvette,CorvetteStingray,CorvetteCoupe,CorvetteConvertible,CorvetteGrand,CorvetteZ06,Corvette427,CorvetteZR1,CorvetteZ51"
Chevrolet,Cruz,"CruzeLS,CruzeSedan,CruzeLTZ,Cruze1LT,Cruze4dr,CruzeLT,Cruze2LT,Cruze,CruzeDiesel,CruzeHatchback,CruzePremier,CruzeECO,CruzeL,Cruze4d,CruzeLT-38,Cruze1LT/Fleet,CruzeSEDAN,Cruze1FL,CruzeLs"
Chevrolet,Equi,"EquinoxFWD,EquinoxAWD,Equinox4dr,Equinox2WD,EquinoxLS,Equinox,EquinoxLT,Equinox4d,EquinoxLTZ"
Chevrolet,Expr,Express
Chevrolet,HHR2,HHR2WD
Chevrolet,HHR4,HHR4dr
Chevrolet,HHRF,HHRFWD
Chevrolet,Impa,"ImpalaLS,Impala4dr,Impala2LT,ImpalaLT,ImpalaPremier,ImpalaLTZ,Impala2LTZ,Impala1LTZ,Impala1LT,ImpalaPolice,Impala,ImpalaFirst,ImpalaUnmarked,Impala4d,ImpalaImpala,Impala1LS,ImpalaLT2,ImpalaLimited,ImpalaSEDAN,Impala1WF19,ImpalaSedan,ImpalaOnStar/,Impala2014,Impala3LT,Impala4"
Chevrolet,Lumi,Lumina4dr
Chevrolet,Mali,"Malibu,Malibu1LT,MalibuLS,MalibuLT,MalibuECO,Malibu4dr,Malibu2LTZ,MalibuPremier,MalibuHybrid,Malibu2LT,Malibu1LZ,Malibu1LTZ,Malibu3LT,Malibu2LZ,MalibuSedan,MalibuL,MalibuFleet,MalibuBase,MalibuLTZ,Malibu4d,Malibu1FL,MalibuSEDAN,MalibuClassic,Malibu4DR,MalibuMalibu,Malibu1LS,MalibuFleet*1-Owner*Clean"
Chevrolet,Mont,Monte
Chevrolet,New,New
Chevrolet,P,P
Chevrolet,Priz,Prizm4dr
Chevrolet,S-10,"S-104WD,S-102WD"
Chevrolet,Silv,Silverado
Chevrolet,Soni,"SonicHatch,SonicHatchback,SonicSedan,SonicLT"
Chevrolet,Spar,"Spark2LT,Spark1LT,SparkLS,Spark4DR,Spark"
Chevrolet,SSRR,SSRRegular
Chevrolet,SSSe,SSSedan
Chevrolet,Subu,"Suburban2WD,Suburban4WD,SuburbanLTZ,Suburban4dr,Suburban1500,SuburbanLT,Suburban3/4,Suburban2500,SuburbanLS,SuburbanFleet,Suburban4X4,Suburban,SuburbanCLOTH"
Chevrolet,Taho,"Tahoe4dr,Tahoe4WD,TahoeLT,Tahoe2WD,TahoePremier,TahoeLTZ,TahoeLS,Tahoe1500,Tahoe,Tahoe2dr,TahoeCommercial,TahoePolice,TahoeSpecial,TahoeHeated"
Chevrolet,Trac,"Tracker4dr,Tracker2dr"
Chevrolet,Trai,"TrailBlazer4dr,TrailBlazer4WD,TrailBlazer2WD,TrailBlazerLS"
Chevrolet,Trav,"TraverseFWD,Traverse2LT,Traverse1LT,TraverseAWD,TraverseLTZ,TraverseLS,TraverseLT"
Chevrolet,Trax,"TraxFWD,TraxAWD,Trax,Trax1LT"
Chevrolet,Upla,"Uplander4dr,Uplander"
Chevrolet,Vent,"Venture,VentureExt,Venture4dr,VentureReg,VentureBase"
Chevrolet,Volt,"VoltPlug-In,VoltBase,VoltPremier,VoltLT,Volt5dr"
