Make,Model_part,Models
Dodge,Aven,"AvengerSE,Avenger4dr,AvengerSXT,AvengerR/T,Avenger2dr"
Dodge,Cali,"CaliberSXT,Caliber4dr,CaliberHB,Caliber,CaliberExpress,Caliber4d"
Dodge,Cara,"CaravanSE,CaravanSport,CaravanSXT,Caravan4dr,Caravan3,Caravan4,CaravanES,Caravan,CaravanEX"
Dodge,Chal,"ChallengerSXT,ChallengerR/T,Challenger2dr,ChallengerSRT,ChallengerSRT8,Challenger392,ChallengerShaker,ChallengerT/A,ChallengerScat,ChallengerRallye,ChallengerGT,Challenger"
Dodge,Char,"Charger4dr,ChargerSXT,ChargerRT,ChargerSRT,ChargerSRT8,ChargerDaytona,ChargerR/T,ChargerRoad/Track,ChargerSE,ChargerPolice,ChargerPursuit,ChargerV6,ChargerBase,Charger,Charger4d,ChargerAWD,ChargerFleet,ChargerSCATPK"
Dodge,Dako,"Dakota4WD,Dakota2WD,DakotaBighorn/Lonestar"
Dodge,Dart,"DartSXT,DartGT,DartSE,DartLimited,DartRallye,DartAero,Dart,DartSXT/Rallye,DartTurbo,Dart4d"
Dodge,Dura,"DurangoAWD,Durango2WD,DurangoCitadel,DurangoLimited,DurangoSXT,DurangoGT,DurangoR/T,Durango4dr,Durango4WD,DurangoCrew,DurangoSpecial,DurangoCREW"
Dodge,Gran,Grand
Dodge,Intr,Intrepid4dr
Dodge,Jour,"JourneyFWD,JourneySE,JourneyCrew,JourneyR/T,JourneyAWD,JourneySXT,JourneyLimited,JourneyCrossroad,JourneyAmerican,JourneyGT,Journey"
Dodge,Magn,Magnum4dr
Dodge,Neon,"Neon4dr,NeonSE,Neonsx"
Dodge,Nitr,"NitroR/T,NitroSE,Nitro4WD,Nitro2WD,Nitro,NitroSLT/RT,NitroSPORT,NitroSXT"
Dodge,Ram,Ram
Dodge,Spri,"Sprinter2500,Sprinter3500,Sprinter,Sprinter2WD"
Dodge,SRT,SRT
Dodge,Stra,"Stratus4dr,Stratus,Stratus2004.5,StratusSE,Stratus2004,Stratus2dr"
Dodge,Vipe,"Viper2dr,ViperGTC,ViperGTS,ViperSRT,ViperACR"
