Make,Model_part,Models
Honda,Acc,"Accord,AccordLX,AccordSport,AccordSE,AccordEX,AccordLX-P,AccordEX-L,AccordLX-S,AccordBase,AccordTouring,AccordVP,AccordDX"
Honda,Civ,"Civic,CivicManual,CivicVP,CivicEX,CivicLX,CivicContinuously,CivicSi,CivicDX,CivicBase,CivicSE,CivicEX-L,CivicDX-VP,CivicHF,CivicLX-S,CivicNatural,CivicEX-T,CivicGX,CivicLX-P,CivicTouring,Civic4dr,Civic2dr,CivicSport,CivicHybrid,CivicHX,CivicCX"
Honda,CR-,"CR-ZEX,CR-ZCVT,CR-Z3dr,CR-ZAutomatic,CR-ZEX-L,CR-ZLX,CR-ZManual,CR-VLX,CR-VEX,CR-V2WD,CR-V4WD,CR-VEX-L,CR-VSE,CR-V,CR-VTouring,CR-VAutomatic,CR-VONE,CR-ZBase,CR-VBase"
Honda,Cro,"CrosstourEX-L,CrosstourEX"
Honda,Ele,"Element4WD,Element2WD,ElementLX,ElementEX,ElementSC,ElementEX-P,ElementDX"
Honda,Fit,"FitEX,FitLX,FitEX-L,FitAutomatic,FitSport,Fit5dr,FitManual,Fit,FitBase,FitHB"
Honda,HR-,"HR-V2WD,HR-VLX,HR-VAWD,HR-VEX-L,HR-VEX"
Honda,Ins,"Insight5dr,InsightCVT,InsightLX,InsightEX,InsightBase,InsightContinuously"
Honda,Ody,"Odyssey5dr,OdysseyLX,OdysseyEX,Odyssey4dr,OdysseyEX-L,OdysseyEX-RES,OdysseyTouring,OdysseySE,OdysseyElite,OdysseyOdyssey,OdysseyBase,OdysseyLeather"
Honda,Pas,"Passport4WD,PassportEX,Passport2WD"
Honda,Pil,"Pilot2WD,PilotEX-L,Pilot4WD,PilotEX,PilotLX,PilotSE,PilotTouring,PilotElite,Pilot,PilotVP"
Honda,Pre,"Prelude2dr,PreludeBase,PreludeAutomatic"
Honda,Rid,"Ridgeline4WD,RidgelineRTS,RidgelineRT,RidgelineSport,RidgelineSE,RidgelineRTL,RidgelineRTL-T,RidgelineBlack,RidgelineRTL-E,RidgelineRTX"
Honda,S20,"S2000Manual,S20002dr,S2000Base,S2000CR"
