Make,Model_part,Models
Hyundai,Acc,"Accent4dr,AccentSE,AccentValue,AccentGLS,AccentSport,AccentGS,Accent3dr,Accent5dr,Accent,Accent99A"
Hyundai,Aze,"Azera4dr,AzeraSedan,AzeraLimited,Azera3.3L"
Hyundai,Ela,"ElantraSE,Elantra4dr,ElantraLimited,ElantraGLS,ElantraValue,Elantra,ElantraSEL,ElantraECO,ElantraSport,Elantra5dr,Elantra4DSD,Elantra4DR,Elantra2016,Elantra99A"
Hyundai,Ent,Entourage4dr
Hyundai,Equ,"Equus4dr,EquusSignature,EquusUltimate"
Hyundai,Gen,"Genesis,Genesis4dr,Genesis3.8,Genesis5.0,GenesisV6,Genesis3.8L,Genesis5.0L"
Hyundai,Ion,Ioniq
Hyundai,San,Santa
Hyundai,Son,"Sonata,Sonata2.4L,SonataSE,SonataGLS,Sonata4dr,SonataSport,SonataLimited,Sonata1.6T,SonataEco,Sonata2.0T,SonataSEL,Sonata2011,SonataBase,SonataGL"
Hyundai,Tib,"Tiburon2dr,TiburonSE"
Hyundai,Tuc,"TucsonSE,TucsonFWD,TucsonGLS,TucsonAWD,TucsonGL,Tucson4WD,TucsonLimited,Tucson4dr,TucsonEco,TucsonSport,TucsonNight,TucsonWalking,TucsonValue"
Hyundai,Vel,"VelosterManual,VelosterAutomatic,VelosterDual,VelosterValue,Veloster3dr,VelosterRE:MIX,VelosterRE:FLEX,VelosterTurbo,VelosterGLS,Veloster1.6L"
Hyundai,Ver,"VeracruzAWD,VeracruzFWD,VeracruzGLS"
Hyundai,XG3,"XG3504dr,XG3004dr"
