Make,Model_part,Models
Kia,Ama,"Amanti4dr,AmantiBase"
Kia,Bor,"Borrego4WD,Borrego2WD,BorregoEX,BorregoLX"
Kia,Cad,"CadenzaPremium,CadenzaLimited,CadenzaSedan,CadenzaTechnology,CadenzaBase"
Kia,For,"ForteAutomatic,ForteLX,ForteManual,Forte4dr,ForteS,ForteEX,Forte,ForteSX,Forte5LX,Forte2dr,Forte5SX"
Kia,K90,"K900Luxury,K900Premium,K900V6,K900V8"
Kia,Nir,"NiroEX,NiroLX,NiroTouring,NiroFE"
Kia,Opt,"OptimaLX,OptimaEX,Optima4dr,Optima,OptimaSX,Optima2006.5,OptimaLimited,OptimaSXL,OptimaS,OptimaBase,OptimaSE,OptimaOptima,OptimaPremium"
Kia,Rio,"RioSedan,RioLX,Rio5-door,Rio5dr,Rio4dr,RioEX,Rio,RioSX,RioBase,RioCinco"
Kia,Ron,"Rondo4dr,RondoLX,RondoEX"
Kia,Sed,"Sedona4dr,SedonaEX,SedonaLX,SedonaL,Sedona,SedonaSX,SedonaLimited,SedonaSX-L,SedonaBase"
Kia,Sep,"Sephia4dr,SephiaBase,SephiaLS"
Kia,Sor,"SorentoLX,SorentoL,SorentoAWD,Sorento2WD,Sorento4dr,SorentoEX,Sorento4WD,SorentoSX,SorentoLimited,SorentoBase"
Kia,Sou,"Soul,SoulManual,SoulAutomatic,Soul+,Soul5dr,Soul!,SoulBase,SoulEV,Soul#NAME?,SoulExclaim,SoulEV+,SoulSport,SoulSoul"
Kia,Spe,"Spectra4dr,Spectra5dr,SpectraLX,SpectraEX,SpectraSpectra5,SpectraSX,SpectraBase,SpectraGS,SpectraLS"
Kia,Spo,"SportageAWD,SportageLX,SportageFWD,Sportage2WD,Sportage4WD,SportageSX,SportageEX,Sportage4dr,SportageBase,Sportage2dr"
