Make,Model_part,Models
Toyota,4Run,"4Runner4dr,4Runner2WD,4RunnerRWD,4Runner4WD,4Runner4x2,4Runner4x4,4RunnerSR5,4RunnerLimited,4RunnerSport,4RunnerTrail,4Runner,4RunnerTRD,4RunnerBase,4Runner4Runner"
Toyota,86Au,86Automatic
Toyota,86Ba,86Base
Toyota,86Ma,86Manual
Toyota,86SE,86SE
Toyota,Aval,"Avalon,Avalon4dr,AvalonXLE,AvalonTouring,AvalonLimited,AvalonPremium,AvalonHybrid,AvalonXL,AvalonXLS,AvalonBase"
Toyota,C-HR,C-HRXLE
Toyota,Camr,"Camry,CamrySE,CamryLE,Camry4dr,CamryXLE,CamryL,CamryXSE,Camry2014.5,CamryHybrid,CamryBase,CamryCE,Camry4d"
Toyota,Celi,"Celica3dr,Celica2dr,CelicaGT,CelicaGTS"
Toyota,Coro,"Corolla4dr,CorollaLE,CorollaS,CorollaL,CorollaSE,CorollaECO,CorollaXLE,Corolla,CorollaXSE,CorollaXRS,CorollaBase,CorollaCE,CorollaVE,CorollaCorolla,CorollaDX"
Toyota,Echo,"Echo2dr,Echo4dr,EchoSedan"
Toyota,FJ,FJ
Toyota,High,"Highlander,Highlander4dr,Highlander2WD,HighlanderFWD,Highlander4WD,Highlander4X2,Highlander4x2,HighlanderLimited,Highlander4X4,HighlanderLE,HighlanderAWD,HighlanderXLE,HighlanderSE,HighlanderHybrid,HighlanderBase,HighlanderSport,HighlanderPlus,Highlanderw/3rd,HighlanderHighlander"
Toyota,Land,Land
Toyota,Matr,"Matrix5dr,MatrixS,MatrixL,MatrixXRS,MatrixBase,MatrixXR"
Toyota,Mira,"Mirai4dr,MiraiSedan"
Toyota,MR2,MR2
Toyota,Prev,PreviaLE
Toyota,Priu,"Prius,PriusThree,PriusTwo,PriusFour,Prius5dr,PriusFive,PriusOne,PriusPersona,PriusHATCACK,Prius4dr,PriusIII,PriusTouring,PriusBase"
Toyota,RAV4,"RAV44X4,RAV44X2,RAV44WD,RAV4FWD,RAV4AWD,RAV4,RAV44dr,RAV4LE,RAV42WD,RAV4XLE,RAV4Sport,RAV4Limited,RAV4SE,RAV4Platinum,RAV4V6,Sport,JBL,RAV4Base,RAV4XLE/4WD/W/NAV/REAR,RAV42dr"
Toyota,Sequ,"Sequoia4dr,Sequoia2WD,SequoiaRWD,Sequoia4WD,Sequoia4X4,Sequoia4X2,SequoiaSR5,SequoiaLimited,SequoiaPlatinum"
Toyota,Sien,"SiennaLE,,Sienna5dr,SiennaL,,SiennaLE,SiennaSE,,SiennaXLE,,SiennaBase,SiennaL,SiennaXLE,SiennaLimited,,SiennaLimited,SiennaSE,SiennaCE,Sienna5DR,SiennaLE/DVD,SiennaSienna,Sienna5328,SiennaLIMITED,Sienna7-Pass"
Toyota,Supr,"Supra3dr,Supra15th"
Toyota,T100,"T100XtraCab,T100SR5"
Toyota,Taco,"TacomaRegular,Tacoma2WD,Tacoma4WD,TacomaAccess,TacomaDouble,TacomaPrerunner,Tacoma4D,Tacoma,TacomaBase,TacomaSR,TacomaTRD,TacomaSR5,TacomaPreRunner,TacomaX-Runner,TacomaLimited"
Toyota,Terc,Tercel2dr
Toyota,Tund,"Tundra2WD,Tundra,Tundra4WD,TundraSR5,TundraBase,TundraSR,TundraRegular,TundraLimited,TundraGrade,TundraSR6,TundraTRD,Tundra1794,TundraDouble,TundraPlatinum"
Toyota,Venz,"VenzaLE,,Venza4dr,VenzaXLE,VenzaLE,VenzaXLE,,VenzaLimited,,VenzaLimited,VenzaBase"
Toyota,Yari,"Yaris,Yaris3-Door,Yaris5-Door,Yaris3dr,Yaris4dr,Yaris5dr,YarisLE,YarisBase,YarisL,YarisFleet,Yaris4DR,YarisSedan,YarisSE,YarisYaris,YarisS"
